1A				
ei dift 1 tavussa?				
part.	kye´pirid	ye´ve->ye´pi		
	kye´verid			
2b				
SAJOS				
v-k				
j->ij				
o->oo				
				
Nom. 	sajos		sajoseh	
Gen.	saijoos	jo->ijoo	sajosij	
Akk.	saijoos	jo->ijoo	sajosijd	
Ill.	sajosân		sajosáid	
Lokat.	sajosist		sajosijn	
Kom. 	sajosáin		sajosijgin	
Abess.	saijoosttáá	jo->ijoo	sajosijttáá	
Ess.				
	sajosin			
part.				
	sajosid			
				
2b				
NAVER				
k-v				
v->hh				
v->h				
e->aa				
aa->a				
Nom. 	naver		nahareh	ve>ha
Gen.	nahhaar	ve>hhaa	naharij	ve>ha
Akk.	nahhaar	ve>hhaa	naharijd	ve>ha
Ill.	naharân	ve>ha	naharáid	ve>ha
Lokat.	naharist	ve>ha	naharijn	ve>ha
Kom. 	naharáin	ve>ha	naharijguin	ve>ha
Abess.	nahhaarttáá	ve>hhaa	naharijttáá	ve>ha
Ess.	naharin			
	naverin			
part.	naharid			
	naverid			
				
2b				
ČAVOS				
v-k				
v->pp				
v->p				
o->oo				
Nom. 	čavos		čaposeh	v->p
Gen.	čappoos	vo->ppoo	čaposij	v->p
Akk.	čappoos	vo->ppoo	čaposijd	v->p
Ill.	čaposân	v->p	čaposáid	v->p
Lokat.	čaposist	v->p	čaposijn	v->p
Kom. 	čaposáin	v->p	čaposijguin	v->p
Abess.	čappoosttáá	vo->ppoo	čaposijttáá	v->p
Ess.	čaposin	v->p		
	čavosin			
part.	čaposid	v->p		
	čavosid			
				
2b				
NJUOĐÅS				
d-k				
đ->tt				
tt->t				
Nom. 	njuođås		njuo´tåseh	tt->t
Gen.	njuottås	đ->tt	njuo´tåsij	tt->t
Akk.	njuottås	đ->tt	njuo´tåsijd	tt->t
Ill.	njuo´tåsån	tt->t	njuo´tåsáid	tt->t
Lokat.	njuo´tåsist	tt->t	njuo´tåsijn	tt->t
Kom. 	njuo´tåsáin	tt->t	njuo´tåsijguin	tt->t
Abess.	njuottåsttáá	đ->tt	njuo´tåsijttáá	tt->t
Ess.	njuođåsin			
	njuo´tåsin			
