							
							
N+Sg+Loc	kiär´gusist		Lokat.	kiär´gusist	rg->r´g	kiär´gusijn	rg->r´g
N+Sg+Com	kiär´gusáin		Kom. 	kiär´gusáin	rg->r´g	kiär´gusijguin	rg->r´g
N+Sg+Abe	kiär´gusttáá		Abess.	kiär´gusttáá	rg->r´g	kiär´gusijttáá	rg->r´g
N+Ess	[kiär´gusin, kiärgusin]		Ess.	kiär´gusin	rg->r´g		
N+Par	[kiär´gusid, kiärgusid]			kiärgusin			
N+Pl+Nom	kiär´guseh		part.	kiär´gusid	rg->r´g		
N+Pl+Gen	kiär´gusij			kiärgusid			
N+Pl+Acc	kiär´gusijd						
N+Pl+Ill	kiär´gusáid						
N+Pl+Loc	kiär´gusijn						
N+Pl+Com	kiär´gusijguin						
N+Pl+Abe	kiär´gusijttáá						
							
							
							
							
							
							
			2a				
			KUÁLUS				
			d-k				
Noun - kuálus:	# 2A d -k, l > l'l		l->l´l				
N+Sg+Nom	kuálus		Nom. 	kuálus		kuál´luseh	l->l´l
N+Sg+Gen	kuál´lus		Gen.	kuál´lus	l->l´l	kuál´lusij	l->l´l
N+Sg+Acc	kuál´lus		Akk.	kuál´lus	l->l´l	kuál´lusijd	l->l´l
