[eebir: iäbbár , iäbbárân , iäbbárist , iäbbáráin
graaniit : granittáin, granittist, granittân, graaniit
grafiit : grafittáin, grafittist, grafittân, grafiit
grafiit : grafitáin, grafitist, grafitân, grafiit
graniit : graniitáin, graniitist, graniitân, graniit
granit : granitáin, granitist, granitân, granit
gynekolog : gynekologijn, gynekologist, gynekologin, gynekolog
haahâ : havváin, haavâst, haahân, haavâ
haalar : haalaráin, haalarist, haalarân, haalar
haalu : haalu , haalun , haalust , haaluin
haamit : haamit , hamittân , hamittist , hamittáin
haamit : hamittáin, hamittist, hamittân, haamit
haammân : hamânáin, hamânist, hamânân, haammân
haandâl : handâláin, handâlist, handâlân, handâl
haarnisk : haarniskáin, haarniskist, haarniskân, haarnisk
haarrân : harânáin, harânist, harânân, haarrân
haavdâ : havduin, havdust, havdui, havduu
haavdâr : havddâráin, havddârist, havddârân, havddâr
haavi : haavijn, haavist, haavin, haavi
hadde : &hoddijn, haddeest, haadan, hade
hadde : hade , haadan , haddeest , hoddijn
hai : hain, haist, hain, hai
haidar : haidaráin, haidarist, haidarân, haidar
haigar : haigaráin, haigarist, haigarân, haigar
haldâttâs : haldâttâssáin, haldâttâsâst, haldâttâsân, haldâttâs
haldâttâsorgaan : haldâttâsorgaanáin, haldâttâsorgaanist, haldâttâsorgaanân, haldâttâsorgaan
haldâšeijee : haldâšeijein, haldâšeijest, haldâšeijei, haldâšeijee
hallittâs : hallittâssáin, hallittâsâst, hallittâsân, hallittâs
halogeen : halogeenáin, halogeenist, halogeenân, halogeen
hammiittâs : hammiittâssáin, hammiittâsâst, hammiittâsân, hammiittâs
hammim : hammiimáin, hammiimist, hammiimân, hammim
hana : hanain, hanast, hanan, hana
handuk : handukáin, handukist, handukân, handuk
harmoon : harmoonáin, harmoonist, harmoonân, harmoon
harppu : haarpu , haarpun , haarpust , harppuin
havdâ : havdáin, haavdâst, haavdân, haavdâ
havlâ : havláin, haavlâst, haavlân, haavlâ
haŋgâ : haŋgáin, haaŋgâst, haaŋgân, haaŋgâ
haškâ : haškáin, haaškâst, haaškân, haaškâ
heeilâr : heilâráin, heilârist, heilârân, heilâr
heellân : helânáin, helânist, helânân, heellân
heevim : heeviimáin, heeviimist, heeviimân, heevim
heevvâl : hevâláin, hevâlist, hevâlân, heevvâl
heeđâlm : heđâlmáin, heđâlmist, heđâlmân, heeđâlm
hehtaar : hehtaaráin, hehtaarist, hehtaarân, hehtaar
heiviittâllâm : heiviittâllâm , heiviittâlmân , heiviittâlmist , heiviittâlmáin
heiviittâllâm : heiviittâlmáin, heiviittâlmist, heiviittâlmân, heiviittâllâm
heiviittâs : heiviittâssáin, heiviittâsâst, heiviittâsân, heiviittâs
helgit : helgitáin, helgitist, helgitân, helgit
hellá : helláin, helláást, heelán, helá
helvit : helvitáin, helvitist, helvitân, helvit
hemâdâs : hemâdâssáin, hemâdâsâst, hemâdâsân, hemâdâs
hersku : herskoin, heerskust, heerskun, heersku
herttâ : herttáin, heertâst, heertân, heertâ
hevvâlttâs : hevvâlttâssáin, hevvâlttâsâst, hevvâlttâsân, hevvâlttâs
hiccejeijee : hiccejeijein, hiccejeijest, hiccejeijei, hiccejeijee
hijmâ : hijmáin, hiijmâst, hiijmân, hiijmâ
hijvá : hijváin, hiijvást, hiijván, hiijvá
hilgottâs : hilgottâssáin, hilgottâsâst, hilgottâsân, hilgottâs
hiller : hilleráin, hillerist, hillerân, hiller
hillo : hilloin, hilloost, hiilon, hilo
hillo : hilo , hiilon , hilloost , hilloin
himo : himo , himon , hiimoost , himoin
hirsâ : hirsáin, hiirsâst, hiirsân, hiirsâ
hissi : hiisi , hiisin , hiisist , hissijn
historjistee : historjistein, historjistest, historjistei, historjistee
historjá : historjáin, historjást, historján, historjá
hiäibum : hiäibumáin, hiäibumist, hiäibumân, hiäibum
hiärrá : hiärráin, hiärást, hiärán, hiärá
hiärskudeijee : hiärskudeijein, hiärskudeijest, hiärskudeijei, hiärskudeijee
hiätu : hiäđoin, hiäđust, hiätun, hiäđu
hiävlá : hiävláin, hiävlást, hiävlán, hiävlá
hiävuš : hiäppušáin, hiäppušist, hiäppušân, hiäppuš
hiŋgál : hiŋgáláin, hiŋgálist, hiŋgálân, hiŋgál
hoidájeijee : hoidájeijein, hoidájeijest, hoidájeijei, hoidájeijee
hokâttâs : hokâttâssáin, hokâttâsâst, hokâttâsân, hokâttâs
hommá : hommáin, hommáást, hoomán, homá
hommá : homá , hoomán , hommáást , hommáin
hommáástâlmuš : hommáástâlmuššáin, hommáástâlmušâst, hommáástâlmušân, hommáástâlmuš
hooteel : hooteel , hotellân , hotellist , hotelláin
hooteel : hotelláin, hotellist, hotellân, hooteel
hormon : hormonáin, hormonist, hormonân, hormon
hovdim : hovdiimáin, hovdiimist, hovdiimân, hovdim
hovdâ : hovdáin, hoovdâst, hoovdân, hoovdâ
