1045557 
42469 já	já+CC
   1 Kilpisjärvi	Kilpisjärvi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Kildan	Kild+OLang/NOBN+Prop+Sem/Sur+Sg+Ill
   1 Kiiskinen	Kiiskinen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kiigâs	kii+Pron+Interr+Sg+Nom+Foc
   1 Kievŋiskuoškâ	Kievŋiskuoškâ+N+Prop+Sg+Nom
   1 Kietân	kietâ+N+Sg+Ill
   1 Kietân	kietâ+N+Ess
   1 Kiesvärjeggi	Kiesvärjeggi+N+Prop+Sg+Nom
   1 Kierâškuátijuuvâš	Kierâškuátijuuvâš+N+Prop+Sg+Nom
   1 Kielâpiervâlttáá	kielâpiervâl+N+Sg+Abe
   1 Kielâpiervâlin	kielâpiervâl+N+Ess
   1 Kielâpiervâlijn	kielâpiervâl+N+Pl+Loc
   1 Kielâpiervâlehkin	kielâpiervâl+N+Pl+Nom+Foc
   1 Kielâin	kielâ+N+Sg+Com
   1 Kielâin	kielâ+N+Pl+Loc
   1 Kielâid	kielâ+N+Pl+Ill
   1 Kielâid	kielâ+N+Pl+Acc
   1 Kielin	Kiel+OLang/UNDN+Prop+Sem/Plc+Sg+Com
   1 Kiela	Kiel+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Kiela	Kiel+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Kieddsuálui	Kiedd^suálui+N+Prop+Sg+Nom
   1 Keđgivyeppeepuolžiih	Keđgivyeppee^puolžiih+N+Prop+Sg+Nom
   1 Keđgiporkielâs	Keđgiporkielâs+N+Prop+Sg+Nom
   1 Keđgijävri	Keđgijävri+N+Prop+Sg+Nom
   1 Keđgijuuhâ	Keđgijuuhâ+N+Prop+Sg+Nom
   1 Kevin	Kevin+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Kettunen	Kettunen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kettu	Kettu+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Kettu	Kettu+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Kettu	Kettu+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Kerrisnjargâ	Kerris^njargâ+N+Prop+Sg+Nom
   1 Kent	Kent+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Kenneth	Kenneth+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Kennedy	Kennedy+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Kennedy	Kennedy+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Kennedy	Kennedy+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Keniast	Kenia+OLang/NOBN+Prop+Sem/Plc+Sg+Loc
   1 Ken	Ken+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Kemppainen	Kemppainen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Keminmaa	Keminmaa+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Keminmaa	Keminmaa+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Keminmaa	Keminmaa+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Kemiläinen	Kemiläinen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kela	Kela+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kela	Kela+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   1 Kela	Kela+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   1 Kekkonenhân	Kekkonen+OLang/FINN+Prop+Sem/Sur+Sg+Nom+Foc
   1 Keith	Keith+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Keisinjargâ	Keisi^njargâ+N+Prop+Sg+Nom
   1 Keisiluohtâ	Keisiluohtâ+N+Prop+Sg+Nom
   1 Keflavik	Keflavik+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Kaŋgâvuonâ	Kaŋgâvuonâ+N+Prop+Sg+Nom
   1 Kaŋgânjargâ	Kaŋgânjargâ+N+Prop+Sg+Nom
   1 Kaččâm	kaččâđ+V+Sg1
   1 Kazanist	Kazan+OLang/UNDN+Prop+Sem/Plc+Sg+Loc
   1 Kazan	Kazan+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Kavrenjunsuolluuh	Kavre^njunsuolluuh+N+Prop+Sg+Nom
   1 Kauppinen	Kauppinen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kaukost	Kauko+OLang/UNDN+Prop+Sem/Mal+Sg+Loc
   1 Kauhajoki	Kauhajoki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Kauhajoki	Kauhajoki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Kauhajoki	Kauhajoki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Katiskast	Katiska+OLang/UNDN+Prop+Sem/Sur+Sg+Loc
   1 Katekeettain	Katekeetta+OLang/UNDN+Prop+Sem/Sur+Sg+Com
   1 Katekeettain	Katekeetta+OLang/UNDN+Prop+Sem/Sur+Pl+Loc
   1 Katainen	Katainen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kaskinen	Kaskinen+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Kasa	Kasai+OLang/UNDN+Prop+Sem/Plc
   1 Kasa	Kasa+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Kasa	Kasa+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Kasa	Kasa+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Karvanen	Karvanen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Karlin	Karl+OLang/UNDN+Prop+Sem/Mal+Sg+Com
   1 Karjalainen	Karjalainen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Karin	Karin+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Karin	Kari+OLang/UNDN+Prop+Sem/Mal+Sg+Ill
   1 Karin	Kari+OLang/UNDN+Prop+Sem/Mal+Ess
   1 Karin	Kari+OLang/UNDN+Prop+Sem/Fem+Sg+Ill
   1 Karin	Kari+OLang/UNDN+Prop+Sem/Fem+Ess
   1 Karigasniemi	Karigasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Karigasniemi	Karigasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Karigasniemi	Karigasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Karhun	Karhu+OLang/UNDN+Prop+Sem/Sur+Sg+Ill
   1 Karhun	Karhu+OLang/UNDN+Prop+Sem/Sur+Ess
   1 Karhumäkist	Karhumäki+OLang/FINN+Prop+Sem/Plc+Sg+Loc
   1 Karhumäki	Karhumäki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Karhumäki	Karhumäki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Karhumäki	Karhumäki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Kappeerttáá	kappeer+N+Sg+Abe
   1 Kappeerjuuhâ	Kappeerjuuhâ+N+Prop+Sg+Nom
   1 Kappadokiast	Kappadokia+OLang/NOBN+Prop+Sem/Plc+Sg+Loc
   1 Kapernaumist	Kapernaum+OLang/UNDN+Prop+Sem/Plc+Sg+Loc
   1 Kaperist	kappeer+N+Sg+Loc
   1 Kaperijd	kappeer+N+Pl+Acc
   1 Kapanen	Kapanen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kantojärvi	Kantojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Kantojärvi	Kantojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Kantojärvi	Kantojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Kansas	Kansas+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Kano	Kano+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Kano	Kano+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Kano	Kano+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Kannisto	Kannisto+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Kannisto	Kannisto+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Kannisto	Kannisto+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Kangasniemin	Kangasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Ill
   1 Kangasniemin	Kangasniemi+OLang/FINN+Prop+Sem/Plc+Ess
   1 Kananen	Kananen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Kanadast-uv	Kanada+OLang/NOBN+Prop+Sem/Plc+Sg+Loc+Qst
   1 Kamessuálui	Kamessuálui+N+Prop+Sg+Nom
   1 Kallioniemist	Kallioniemi+OLang/FINN+Prop+Sem/Plc+Sg+Loc
   1 Kallen	Kalle+OLang/UNDN+Prop+Sem/Sur+Sg+Ill
   1 Kallen	Kalle+OLang/UNDN+Prop+Sem/Sur+Ess
   1 Kalle-uv	Kalle+OLang/UNDN+Prop+Sem/Sur+Sg+Nom+Qst
   1 Kalle-uv	Kalle+OLang/UNDN+Prop+Sem/Sur+Sg+Gen+Qst
   1 Kalle-uv	Kalle+OLang/UNDN+Prop+Sem/Sur+Sg+Acc+Qst
   1 Kaliningrad	Kaliningrad+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Kaliforniast	Kalifornia+OLang/NOBN+Prop+Sem/Plc+Sg+Loc
   1 Kalifornia	Kalifornia+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Kalifornia	Kalifornia+OLang/NOBN+Prop+Sem/Plc+Sg+Gen
   1 Kalifornia	Kalifornia+OLang/NOBN+Prop+Sem/Plc+Sg+Acc
   1 Kaladin	kallaad+N+Ess
   1 Kakkârâslááduh	Kakkârâslááduh+N+Prop+Sg+Nom
   1 Kakkârâsjáávráš	Kakkârâsjáávráš+N+Prop+Sg+Nom
   1 Kaisain	Kaisa+OLang/UNDN+Prop+Sem/Fem+Sg+Com
   1 Kaisain	Kaisa+OLang/UNDN+Prop+Sem/Fem+Pl+Loc
   1 Kairost	Kairo+OLang/UNDN+Prop+Sem/Plc+Sg+Loc
   1 Kairon	Kairo+OLang/UNDN+Prop+Sem/Plc+Sg+Ill
   1 Kairon	Kairo+OLang/UNDN+Prop+Sem/Plc+Ess
   1 Kaiku	Kaiku+OLang/UNDN+Prop+Sem/Obj+Sg+Nom
   1 Kaiku	Kaiku+OLang/UNDN+Prop+Sem/Obj+Sg+Gen
   1 Kaiku	Kaiku+OLang/UNDN+Prop+Sem/Obj+Sg+Acc
   1 Kaijuusuolluuh	Kaijuu^suolluuh+N+Prop+Sg+Nom
   1 Kaijuulássááh	Kaijuu^lássááh+N+Prop+Sg+Nom
   1 Kaijuulássá	Kaijuu^lássá+N+Prop+Sg+Nom
   1 Kaijuukárgu	Kaijuu^kárgu+N+Prop+Sg+Nom
   1 Kaijan	Kaija+OLang/UNDN+Prop+Sem/Fem+Sg+Ill
   1 Kaijan	Kaija+OLang/UNDN+Prop+Sem/Fem+Ess
   1 Kaidâmjävri	Kaidâmjävri+N+Prop+Sg+Nom
   1 Kaasi	kaasi+N+Sg+Nom
   1 Kaasi	kaasi+N+Sg+Gen
   1 Kaasi	kaasi+N+Sg+Acc
   1 Kaarsâhkeeči	Kaarsâhkeeči+N+Prop+Sg+Nom
   1 Kaareehvuonâ	Kaareehvuonâ+N+Prop+Sg+Nom
   1 Kaareehjuuhâ	Kaareehjuuhâ+N+Prop+Sg+Nom
   1 Kaallâmluobbâlâš	Kaallâmluobbâlâš+N+Prop+Sg+Nom
   1 Kaadah	Kaada+OLang/NOBN+Prop+Sem/Plc+Pl+Nom
   1 Jörgen	Jørgen+OLang/NOBN+Prop+Sem/Mal+Sg+Nom
   1 Jörgen	Jörgen+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jönköping	Jönköping+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Jääskö	Jääskö+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Jääskö	Jääskö+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Jääskö	Jääskö+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Jävrikeeči	Jävrikeeči+N+Prop+Sg+Nom
   1 Jäviluáivi	Jävil^uáivi+N+Prop+Sg+Nom
   1 Järvi	Järvi+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Järvi	Järvi+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Järvi	Järvi+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Järvelän	Järvelä+OLang/FINN+Prop+Sem/Sur+Sg+Ill
   1 Järvelän	Järvelä+OLang/FINN+Prop+Sem/Sur+Ess
   1 Jämsä	Jämsä+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Jämsä	Jämsä+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Jämsä	Jämsä+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Jyväskylän	Jyväskylä+OLang/FINN+Prop+Sem/Plc+Sg+Ill
   1 Jyväskylän	Jyväskylä+OLang/FINN+Prop+Sem/Plc+Ess
   1 Jyringin	Jyri+OLang/UNDN+Prop+Sem/Mal+Sg+Ill+Foc
   1 Jyringin	Jyri+OLang/UNDN+Prop+Sem/Mal+Ess+Foc
   1 Juŋŋânjargâ	Juŋŋâ^njargâ+N+Prop+Sg+Nom
   1 Juŋkká	juŋkká+N+Sg+Nom
   1 Juva	Juva+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Juva	Juva+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Juva	Juva+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Juullâmuáivi	Juullâm^uáivi+N+Prop+Sg+Nom
   1 Juuhâhân	juuhâđ+V+Sg3+Foc
   1 Jurmu	Jurmu+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Jurmu	Jurmu+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Jurmu	Jurmu+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Jupiter	Jupiter+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Juovâlâhtuodâr	Juovâlâh^tuodâr+N+Prop+Sg+Nom
   1 Julku	Julku+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Julku	Julku+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Julku	Julku+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Julius	Julius+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Juka	Juka+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Juka	Juka+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Juka	Juka+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Juhl	Juhl+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Juhháánpäikki	Juhháán^päikki+N+Prop+Sg+Nom
   1 Juhanist	Juhan+OLang/UNDN+Prop+Sem/Plc+Sg+Loc
   1 Juhana	Juhan+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Juhana	Juhan+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Joutsi	Joutsi+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Joutsi	Joutsi+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Joutsi	Joutsi+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Jotka	Jotka+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Jotka	Jotka+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Jotka	Jotka+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Joseph	Joseph+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Joonast	Joona+OLang/NOBN+Prop+Sem/Mal+Sg+Loc
   1 Jonist	Joni+OLang/UNDN+Prop+Sem/Mal+Sg+Loc
   1 Jokkmokk	Jokkmokk+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Joki	Joki+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Joki	Joki+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Joki	Joki+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Johanson	Johanson+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Johannesburg	Johannesburg+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Johanne	Johanne+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Johanne	Johanne+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Johanne	Johanne+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Johanist	Johan+OLang/UNDN+Prop+Sem/Mal+Sg+Loc
   1 Joensuust	Joensuu+OLang/FINN+Prop+Sem/Plc+Sg+Loc
   1 Joachim	Joachim+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jiänusân	jiänusân+Adv
   1 Jieŋâvääri	Jieŋâvääri+N+Prop+Sg+Nom
   1 Jieŋâsuálui	Jieŋâsuálui+N+Prop+Sg+Nom
   1 Jiersseejävri	Jierssee^jävri+N+Prop+Sg+Nom
   1 Jiereeh	jiereeh+N+Sg+Nom
   1 Jiereeh	jiereeh+N+Sg+Gen
   1 Jiereeh	jiereeh+N+Sg+Acc
   1 Jerusalemin	Jerusalem+OLang/UNDN+Prop+Sem/Plc+Sg+Com
   1 Jerusalemin	Jerusalem+OLang/UND+Err/OrthN+Prop+Sem/Plc+Sg+Ill
   1 Jerusalemin	Jerusalem+OLang/UND+Err/OrthN+Prop+Sem/Plc+Sg+Com
   1 Jernsletten	Jernsletten+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Jeremian	Jeremia+OLang/NOBN+Prop+Sem/Mal+Sg+Ill
   1 Jeremian	Jeremia+OLang/NOBN+Prop+Sem/Mal+Ess
   1 Jensen	Jensen+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   1 Jens	Jens+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jekaterinburg	Jekaterinburg+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Jeggijävri	Jeggijävri+N+Prop+Sg+Nom
   1 Jankkila	Jankkila+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Jankkila	Jankkila+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   1 Jankkila	Jankkila+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   1 Jalŋesjävri	Jalŋesjävri+N+Prop+Sg+Nom
   1 Jalkanen	Jalkanen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Jakolast	Jakola+OLang/FINN+Prop+Sem/Sur+Sg+Loc
   1 Jakobselv	Jakobselv+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Jakob	Jakob+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jakarta	Jakarta+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Jakarta	Jakarta+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Jakarta	Jakarta+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Jahve	Jahve+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jahve	Jahve+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
   1 Jahve	Jahve+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
   1 Jacobsen	Jacobsen+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   1 Jack	Jack+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Jabbok	Jabbok+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Jaamišjävri	Jaamišjävri+N+Prop+Sg+Nom
   1 Jaakonaho	Jaakonaho+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Jaakonaho	Jaakonaho+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   1 Jaakonaho	Jaakonaho+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   1 Išehân	iše+N+Sg+Nom+Foc
   1 Iše	iše+N+Sg+Nom
   1 Iävá-uv	ij+V+Neg+Prs+Du3+Qst
   1 Iällus	ij+V+Neg+Imprt+Sg3
   1 Iällus	ij+V+Neg+Imprt+Pl3
   1 Iällus	ij+V+Neg+Imprt+Du3
   1 Izanami	Izanami+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Izanami	Izanami+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Izanami	Izanami+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Izanagi	Izanagi+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Izanagi	Izanagi+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Izanagi	Izanagi+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Iver	Iver+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Ivalojoki	Ivalojoki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Ivalojoki	Ivalojoki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Ivalojoki	Ivalojoki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Itkosist	Itkonen+OLang/FINN+Prop+Sem/Sur+Sg+Loc
   1 Isánjargâ	Isá^njargâ+N+Prop+Sg+Nom
   1 Istanbulin	Istanbul+OLang/UNDN+Prop+Sem/Plc+Sg+Com
   1 Istanbul	Istanbul+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Issáákjävri	Issáák^jävri+N+Prop+Sg+Nom
   1 Isojärvi	Isojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Isojärvi	Isojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Isojärvi	Isojärvi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Islandin	Island+OLang/NOBN+Prop+Sem/Plc+Sg+Com
   1 Isaksen	Isaksen+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   1 Isakist	Isak+OLang/UNDN+Prop+Sem/Mal+Sg+Loc
   1 Irkutsk	Irkutsk+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Irjánkárgu	Irjánkárgu+N+Prop+Sg+Nom
   1 Irene	Irene+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Irene	Irene+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Irene	Irene+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Iquitos	Iquitos+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Into-uv	Into+OLang/UNDN+Prop+Sem/Mal+Sg+Nom+Qst
   1 Into-uv	Into+OLang/UNDN+Prop+Sem/Mal+Sg+Gen+Qst
   1 Into-uv	Into+OLang/UNDN+Prop+Sem/Mal+Sg+Acc+Qst
   1 Innala	Innala+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Innala	Innala+OLang/FINN+Prop+Sem/Sur+Sg+Gen
   1 Innala	Innala+OLang/FINN+Prop+Sem/Sur+Sg+Acc
   1 Ingvar-uv	Ingvar+OLang/UNDN+Prop+Sem/Mal+Sg+Nom+Qst
   1 Ingri	Ingri+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Ingri	Ingri+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Ingri	Ingri+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Indian	India+OLang/NOBN+Prop+Sem/Plc+Sg+Ill
   1 Indian	India+OLang/NOBN+Prop+Sem/Plc+Ess
   1 Inarijoki	Inarijoki+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Inarijoki	Inarijoki+OLang/FINN+Prop+Sem/Plc+Sg+Gen
   1 Inarijoki	Inarijoki+OLang/FINN+Prop+Sem/Plc+Sg+Acc
   1 Imelijn	immeel+N+Pl+Loc
   1 Imandrast	Imandra+OLang/UNDN+Prop+Sem/Fem+Sg+Loc
   1 Imandran	Imandra+OLang/UNDN+Prop+Sem/Fem+Sg+Ill
   1 Imandran	Imandra+OLang/UNDN+Prop+Sem/Fem+Ess
   1 Imandra	Imandra+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Imandra	Imandra+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Imandra	Imandra+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Ima	Ima+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
   1 Ima	Ima+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
   1 Ima	Ima+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
   1 Ilona	Ilona+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
   1 Ilona	Ilona+OLang/NOBN+Prop+Sem/Fem+Sg+Gen
   1 Ilona	Ilona+OLang/NOBN+Prop+Sem/Fem+Sg+Acc
   1 Ilmarinen	Ilmarinen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Ilmar-uv	Ilmar+OLang/UNDN+Prop+Sem/Mal+Sg+Nom+Qst
   1 Ikonen	Ikonen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Ikkervuonâ	Ikkervuonâ+N+Prop+Sg+Nom
   1 Iisko	Iisko+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Iisko	Iisko+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Iisko	Iisko+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Ifjord	Ifjord+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Ida	Ida+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
   1 Ida	Ida+OLang/NOBN+Prop+Sem/Fem+Sg+Gen
   1 Ida	Ida+OLang/NOBN+Prop+Sem/Fem+Sg+Acc
   1 Ian	Ian+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
   1 Hästimruávi	Hästimruávi+N+Prop+Sg+Nom
   1 Härnösand	Härnösand+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Hämäläinen	Hämäläinen+OLang/FINN+Prop+Sem/Sur+Sg+Nom
   1 Häme	Häme+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
   1 Häme	Häme+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
   1 Häme	Häme+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
   1 Huáššiluobbâlâš	Huáššiluobbâlâš+N+Prop+Sg+Nom
   1 Huurre	Huurre+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Huurre	Huurre+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Huurre	Huurre+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Huttu	Huttu+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
   1 Huttu	Huttu+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
   1 Huttu	Huttu+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
   1 Husumist	Husum+OLang/UNDN+Prop+Sem/Sur+Sg+Loc
   1 Husavik	Husavik+OLang/NOBN+Prop+Sem/Plc+Sg+Nom
   1 Huittinen	Huittinen+OLang/FINN+Prop+Sem/Plc+Sg+Nom
   1 Huhtamella	Huhtamella+OLang/NOBN+Prop+Sem/Sur+Sg+Nom
   1 Huhtamella	Huhtamella+OLang/NOBN+Prop+Sem/Sur+Sg+Gen
