1045557 
42469 já	já+CC
 111 Hiärrá	hiärrá+N+Sg+Acc
 110 Elmer	Elmer+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
 108 čokkáđ	čokkáđ+V+Inf
 108 lei	leđe+V+IV+Ind+Prt+Sg3
 107 tárkká	tárkká+Adv
 106 tom-uv	tot+Pron+Dem+Sg+Acc+Qst
 105 ohtsis	ohtsis+Adv
 104 puástud	puástud+Adv
 104 addâgâs	addâgâs+Adv
 103 sämmilâš	sämmilâš+N+Sg+Nom
 103 Taid	tot+Pron+Dem+Pl+Acc
 103 Kielâpiervâl	kielâpiervâl+N+Sg+Nom
 103 Kielâpiervâl	kielâpiervâl+N+Sg+Gen
 103 Kielâpiervâl	kielâpiervâl+N+Sg+Acc
 101 Kuuva	Kuuva+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
 101 Kuuva	Kuuva+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
 101 Kuuva	Kuuva+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
 100 ruttâ	ruttâ+N+Sg+Nom
 100 ruttâ	ruttâ+N+Sg+Gen
 100 ruttâ	ruttâ+N+Sg+Acc
 100 kyessi	kyessi+N+Sg+Nom
 100 kyessi	kyessi+N+Sg+Gen
 100 kyessi	kyessi+N+Sg+Acc
  99 Lah-uv	leđe+V+IV+Ind+Prs+Sg2+Qst
  98 Kasper	Kasper+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  97 puurrâm	puurrâđ+V+Sg1
  97 ovdeláá	ovdeláá+Adv
  96 piärguid	piärgu+N+Pl+Ill
  96 piärguid	piärgu+N+Pl+Acc
  96 ijhân	ij+V+Neg+Prs+Sg3+Foc
  96 Pekka	Pekka+OLang/FINN+Prop+Sem/Mal+Sg+Nom
  96 Pekka	Pekka+OLang/FINN+Prop+Sem/Mal+Sg+Gen
  96 Pekka	Pekka+OLang/FINN+Prop+Sem/Mal+Sg+Acc
  96 Kristus	Kristus+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  95 Tanska	Tanska+OLang/UNDN+Prop+Sem/Plc+Sg+Nom
  95 Tanska	Tanska+OLang/UNDN+Prop+Sem/Plc+Sg+Gen
  95 Tanska	Tanska+OLang/UNDN+Prop+Sem/Plc+Sg+Acc
  94 pargoid	pargo+N+Par
  94 kaavpugân	kaavpug+N+Sg+Ill
  94 Onne	onne+Adv
  93 tijjân	tun+Pron+Pers+Pl2+Ill
  93 Keessiv	keessiv+Adv
